35.097614,31.292124,506.57
35.097716,31.292104,507.01
35.098011,31.292106,508.88
35.098173,31.292072,510.04
35.098446,31.292068,512.01
35.098628,31.292025,512.74
35.099146,31.291788,514.75
35.099396,31.291625,515.07
35.099659,31.291504,514.71
35.099997,31.291310,512.92
35.101011,31.290794,517.48
35.101465,31.290454,520.00
35.101731,31.290309,520.26
35.101911,31.290248,519.84
35.102263,31.290168,515.61
35.102402,31.290117,514.79
35.102759,31.289875,513.88
35.102928,31.289791,514.18
35.103294,31.289653,514.04
35.103362,31.289580,514.17
35.103386,31.289504,513.89
35.103394,31.289227,512.47
35.103478,31.288970,511.41
35.103611,31.288754,509.81
35.103819,31.288535,509.73
35.104099,31.288298,509.18
35.104184,31.288250,507.98
35.104340,31.288193,507.57
35.104481,31.288178,507.46
35.104591,31.288200,507.62
35.105250,31.288417,513.17
35.105787,31.288565,513.12
35.106198,31.288615,512.88
35.106727,31.288547,512.06
35.107683,31.288545,512.10
35.107812,31.288509,513.00
35.108092,31.288394,513.00
35.108307,31.288260,512.02
35.108307,31.288260,512.02
35.108429,31.288184,511.80
35.108526,31.288092,511.78
35.108726,31.287851,511.48
35.108983,31.287389,509.99
35.109096,31.287279,508.78
35.109383,31.287120,507.22
35.109812,31.287013,506.00
35.110160,31.286993,505.46
35.110310,31.286945,506.23
35.110662,31.286680,505.83
35.110935,31.286548,504.86
35.111051,31.286507,504.71
35.111212,31.285396,501.71
35.111275,31.285270,501.26
35.111297,31.285120,502.06
35.111291,31.285049,502.30
35.111220,31.284813,502.00
35.111159,31.284687,502.00
35.111022,31.284487,501.79
35.110602,31.284015,501.00
35.110563,31.283908,501.00
35.110564,31.283687,500.56
35.110645,31.283446,500.74
35.110739,31.283256,501.77
35.110880,31.283063,502.97
35.111085,31.282862,504.45
35.111216,31.282764,505.74
35.111484,31.282601,507.45
35.111763,31.282454,508.49
35.112075,31.282331,509.84
35.112332,31.282250,510.78
35.112627,31.282181,510.97
35.113159,31.282089,512.97
35.113389,31.282001,514.94
35.113633,31.281879,516.43
35.114665,31.281297,522.72
35.114893,31.281151,523.31
35.115164,31.280932,524.05
35.115330,31.280832,523.13
35.116106,31.280565,522.04
